frameIdx or filename, face_detected(bool), BB_upperLeftCorner.x, BB_upperLeftCorner.y, BB_height, BB_width, isFemale, age; 
60, 1, 386, 596, 70, 70, 1, 22.2534;
60, 1, 396, 401, 64, 64, 0, 39.9414;
61, 1, 750, 551, 168, 168, 0, 26.5869;
61, 1, 385, 595, 73, 73, 1, 21.2769;
61, 1, 394, 400, 67, 67, 0, 40.6006;
61, 1, 938, 498, 91, 91, 0, 29.2969;
62, 1, 748, 550, 169, 169, 0, 26.6602;
62, 1, 385, 595, 73, 73, 1, 21.0449;
62, 1, 391, 396, 73, 73, 0, 36.3037;
63, 1, 750, 549, 170, 170, 0, 26.9287;
63, 1, 385, 594, 73, 73, 1, 21.0205;
63, 1, 390, 395, 75, 75, 0, 35.7666;
64, 1, 749, 547, 173, 174, 0, 28.3203;
64, 1, 386, 594, 73, 73, 1, 21.0083;
64, 1, 390, 395, 75, 75, 0, 38.623;
65, 1, 751, 548, 172, 172, 0, 28.1494;
65, 1, 386, 594, 72, 72, 1, 20.752;
65, 1, 388, 393, 81, 81, 0, 33.0322;
66, 1, 749, 546, 174, 175, 0, 28.5889;
66, 1, 386, 594, 72, 72, 1, 20.7153;
66, 1, 391, 397, 75, 75, 0, 40.7959;
67, 1, 749, 547, 172, 172, 0, 28.2471;
67, 1, 386, 594, 72, 72, 1, 20.8984;
67, 1, 393, 397, 73, 73, 0, 37.7441;
68, 1, 748, 546, 174, 175, 0, 28.4668;
68, 1, 388, 594, 72, 72, 1, 20.813;
68, 1, 389, 393, 78, 78, 0, 38.5498;
68, 1, 533, 373, 68, 68, 1, 30.4443;
69, 1, 749, 547, 173, 175, 0, 27.7344;
69, 1, 388, 593, 73, 73, 1, 20.7764;
69, 1, 391, 392, 78, 78, 0, 37.6709;
70, 1, 395, 392, 76, 76, 0, 29.0527;
70, 1, 747, 545, 175, 176, 0, 27.002;
70, 1, 388, 593, 72, 72, 1, 20.8862;
71, 1, 389, 593, 72, 72, 1, 20.874;
71, 1, 748, 546, 174, 174, 0, 26.9531;
71, 1, 395, 391, 78, 78, 0, 31.4209;
72, 1, 389, 593, 72, 72, 1, 20.813;
72, 1, 749, 548, 172, 172, 0, 25.8301;
72, 1, 394, 390, 80, 80, 0, 28.5156;
73, 1, 390, 593, 72, 72, 1, 20.6909;
73, 1, 750, 548, 172, 172, 0, 26.3428;
73, 1, 398, 394, 76, 76, 0, 28.6865;
74, 1, 391, 593, 70, 70, 1, 20.6543;
74, 1, 751, 554, 164, 164, 0, 27.9297;
75, 1, 390, 592, 72, 72, 1, 20.7275;
75, 1, 751, 554, 165, 165, 0, 27.7344;
76, 1, 390, 592, 72, 72, 1, 20.8374;
76, 1, 750, 551, 166, 166, 0, 28.125;
77, 1, 390, 592, 73, 73, 1, 20.874;
77, 1, 405, 393, 74, 74, 0, 42.2852;
77, 1, 748, 551, 169, 171, 0, 27.71;
78, 1, 389, 591, 75, 75, 1, 20.8252;
78, 1, 752, 556, 162, 162, 0, 27.8809;
79, 1, 389, 591, 73, 73, 1, 20.8984;
79, 1, 754, 558, 157, 157, 0, 29.126;
80, 1, 391, 590, 74, 74, 1, 20.8862;
80, 1, 748, 553, 166, 166, 0, 33.0322;
81, 1, 393, 591, 74, 74, 1, 20.8618;
81, 1, 754, 560, 159, 159, 0, 30.4199;
81, 1, 392, 361, 104, 104, 0, 23.4863;
82, 1, 395, 590, 74, 74, 1, 23.0347;
82, 1, 757, 561, 156, 156, 0, 32.7148;
83, 1, 396, 590, 72, 72, 1, 28.9795;
83, 1, 758, 556, 159, 159, 0, 32.9102;
84, 1, 397, 590, 72, 72, 1, 28.9307;
84, 1, 759, 556, 156, 156, 0, 31.2256;
85, 1, 399, 591, 70, 70, 1, 28.0762;
85, 1, 755, 554, 162, 162, 0, 30.9326;
86, 1, 398, 590, 72, 72, 1, 26.2207;
86, 1, 754, 553, 165, 165, 0, 31.0059;
87, 1, 399, 590, 70, 70, 1, 28.0518;
87, 1, 743, 541, 179, 182, 0, 34.4727;
88, 1, 401, 591, 68, 68, 1, 30.957;
88, 1, 754, 554, 165, 165, 0, 30.0781;
89, 1, 402, 590, 68, 68, 1, 27.6367;
89, 1, 755, 554, 164, 164, 0, 30.7373;
90, 1, 757, 556, 162, 162, 0, 32.6172;
90, 1, 402, 590, 66, 66, 1, 29.4922;
91, 1, 760, 561, 156, 156, 0, 29.3457;
91, 1, 405, 591, 67, 67, 1, 29.6875;
92, 1, 761, 560, 158, 158, 0, 32.3242;
92, 1, 407, 591, 67, 67, 1, 35.9131;
93, 1, 761, 558, 162, 163, 0, 35.4004;
93, 1, 407, 591, 64, 64, 1, 29.9805;
94, 1, 757, 552, 168, 172, 0, 32.959;
94, 1, 408, 591, 64, 64, 1, 30.2002;
95, 1, 757, 549, 171, 176, 0, 33.4473;
95, 1, 408, 591, 64, 64, 1, 27.3926;
96, 1, 758, 547, 173, 177, 0, 34.3994;
96, 1, 407, 589, 68, 68, 1, 26.4648;
97, 1, 758, 547, 173, 176, 0, 33.374;
97, 1, 408, 590, 68, 68, 1, 26.9775;
98, 1, 758, 547, 173, 177, 0, 31.7383;
99, 1, 761, 546, 174, 176, 0, 34.0088;
100, 1, 765, 548, 172, 172, 0, 33.4961;
101, 1, 764, 547, 172, 172, 0, 34.5947;
102, 1, 769, 552, 165, 165, 0, 30.9082;
103, 1, 762, 547, 173, 174, 0, 33.0078;
104, 1, 771, 553, 163, 163, 0, 26.416;
105, 1, 768, 552, 165, 165, 0, 31.7627;
106, 1, 771, 551, 164, 164, 0, 28.0762;
106, 1, 1046, 372, 62, 62, 0, 24.6094;
107, 1, 771, 553, 162, 162, 0, 30.3711;
108, 1, 770, 553, 164, 164, 0, 29.8828;
108, 1, 139, 406, 198, 198, 0, 34.6924;
109, 1, 766, 549, 166, 166, 0, 34.0088;
109, 1, 145, 412, 188, 188, 0, 32.1533;
110, 1, 765, 548, 168, 168, 0, 36.5723;
110, 1, 143, 412, 183, 183, 0, 31.6406;
111, 1, 760, 545, 175, 175, 0, 35.6445;
111, 1, 136, 402, 198, 198, 1, 28.9062;
112, 1, 762, 545, 170, 170, 0, 35.8154;
112, 1, 133, 404, 189, 189, 1, 28.9062;
113, 1, 762, 542, 174, 174, 0, 34.9121;
113, 1, 139, 408, 184, 184, 1, 29.4678;
114, 1, 762, 547, 172, 172, 0, 31.2988;
114, 1, 135, 405, 190, 190, 1, 29.4678;
115, 1, 768, 552, 163, 163, 0, 27.6855;
116, 1, 765, 549, 169, 169, 0, 32.251;
117, 1, 761, 547, 170, 170, 0, 30.2734;
118, 1, 759, 547, 170, 170, 0, 31.7627;
118, 1, 50, 446, 81, 81, 0, 23.5596;
119, 1, 758, 543, 176, 176, 0, 31.7139;
119, 1, 51, 446, 80, 80, 0, 26.2207;
120, 1, 758, 547, 172, 172, 0, 32.959;
120, 1, 53, 447, 81, 81, 0, 24.4141;
121, 1, 764, 558, 158, 158, 0, 31.3965;
121, 1, 55, 447, 80, 80, 0, 23.5474;
122, 1, 761, 553, 164, 164, 0, 31.8604;
122, 1, 55, 448, 81, 81, 0, 24.2065;
123, 1, 768, 562, 154, 154, 0, 28.125;
123, 1, 57, 446, 81, 81, 0, 26.709;
124, 1, 772, 568, 147, 147, 0, 29.5898;
124, 1, 56, 441, 82, 82, 0, 24.5361;
125, 1, 763, 558, 159, 159, 0, 30.9326;
125, 1, 58, 440, 84, 84, 0, 28.5889;
126, 1, 764, 561, 154, 154, 0, 28.1738;
126, 1, 62, 437, 84, 84, 0, 29.0527;
127, 1, 768, 567, 151, 151, 0, 30.5176;
127, 1, 69, 437, 78, 78, 0, 31.1768;
127, 1, 1166, 371, 50, 50, 0, 29.0283;
128, 1, 770, 569, 147, 147, 0, 30.1025;
129, 1, 764, 564, 156, 156, 0, 33.3008;
130, 1, 770, 571, 145, 145, 0, 32.2266;
131, 1, 773, 571, 142, 142, 0, 31.6406;
132, 1, 766, 562, 156, 156, 0, 32.4951;
133, 1, 768, 564, 156, 156, 0, 24.9756;
134, 1, 774, 569, 151, 153, 0, 27.3682;
135, 1, 771, 571, 149, 150, 0, 31.1279;
136, 1, 768, 568, 152, 157, 0, 30.9814;
137, 1, 774, 575, 145, 148, 0, 30.1025;
138, 1, 772, 574, 146, 150, 0, 29.6875;
139, 1, 773, 574, 146, 148, 0, 31.0303;
140, 1, 782, 577, 142, 142, 0, 27.0508;
141, 1, 778, 575, 141, 141, 0, 27.4414;
142, 1, 775, 575, 145, 145, 0, 30.542;
143, 1, 774, 571, 147, 147, 0, 28.1982;
144, 1, 774, 572, 145, 145, 0, 28.6621;
145, 1, 777, 573, 145, 145, 0, 27.417;
146, 1, 769, 568, 151, 151, 0, 26.3672;
147, 1, 765, 565, 154, 154, 0, 27.0508;
148, 1, 772, 569, 150, 150, 0, 26.8555;
149, 1, 769, 567, 153, 154, 0, 23.4497;
150, 1, 766, 571, 149, 151, 0, 23.9746;
151, 1, 758, 565, 155, 157, 0, 31.2256;
152, 1, 760, 568, 152, 156, 0, 27.3926;
153, 1, 762, 566, 154, 158, 0, 24.9023;
154, 1, 767, 569, 151, 153, 0, 25.7812;
155, 1, 764, 567, 153, 154, 0, 26.5137;
156, 1, 761, 563, 157, 162, 0, 28.7598;
157, 1, 765, 564, 156, 157, 0, 27.5635;
158, 1, 766, 560, 160, 162, 0, 27.1729;
161, 1, 765, 567, 153, 156, 0, 24.292;
162, 1, 764, 566, 154, 156, 0, 23.0591;
